"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational","CZ error"
"0","189.27035874901992","170.43295891167313","0.1583251953125","0.269287109375","0.04736328125","2280","0.00048045196648906804","32","0.00048045196648906804","0","0.00048045196648906804","0.00048045196648906804","1:68","1:0.005409749950551962","0.1583251953125","0.404052734375","Yes",""
"1","161.91492869488985","167.2486562942161","0.344482421875","0.166259765625","0.522705078125","2280","0.006657367498777688","32","0.006657367498777688","0","0.006657367498777688","0.006657367498777688","2:68;0:68","2:0.0031603003480610847;0:0.005409749950551962","0.344482421875","0.354736328125","Yes","2:0.0042045592900357975"
"2","306.7542090520845","103.23190154910172","0.0142822265625","0.01171875","0.016845703125","2280","0.0004907603521017724","32","0.0004907603521017724","0","0.0004907603521017724","0.0004907603521017724","1:68;3:68","1:0.0031603003480610847;3:0.001519594734027352","0.0142822265625","0.042724609375","Yes","1:0.0042045592900357975;3:0.003154279981555569"
"3","191.35146724239","162.5784425925892","0.0147705078125","0.0205078125","0.009033203125","2280","0.00029500904398726706","32","0.00029500904398726706","0","0.00029500904398726706","0.00029500904398726706","16:68;2:68;4:68","16:0.001353315487275658;2:0.001519594734027352;4:0.006095565414295567","0.0147705078125","0.0166015625","Yes","16:0.0038659155409493107;2:0.003154279981555569;4:0.00501498104210954"
"4","256.02206432141014","19.314069402015853","0.0191650390625","0.01904296875","0.019287109375","2280","0.0009634995314391988","32","0.0009634995314391988","0","0.0009634995314391988","0.0009634995314391988","3:68;5:68","3:0.006095565414295567;5:0.011901349837062536","0.0191650390625","0.017822265625","Yes","3:0.00501498104210954;5:0.006482383395458563"
"5","260.916047593969","28.603358399066895","0.01123046875","0.01806640625","0.00439453125","2280","0.003518213564706162","32","0.003518213564706162","0","0.003518213564706162","0.003518213564706162","6:68;4:68","6:0.0038926671900151866;4:0.011901349837062536","0.01123046875","0.015380859375","Yes","6:0.006901454923183753;4:0.006482383395458563"
"6","140.34156648829978","41.16915246737732","0.0113525390625","0.012451171875","0.01025390625","2280","0.0008872861471550635","32","0.0008872861471550635","0","0.0008872861471550635","0.0008872861471550635","5:68;7:80","5:0.0038926671900151866;7:0.024247080045127323","0.0113525390625","0.007568359375","Yes","5:0.006901454923183753;7:0.010450279292560843"
"7","353.7472137618192","27.751304128704124","0.0230712890625","0.0234375","0.022705078125","2280","0.0006733939004124724","32","0.0006733939004124724","0","0.0006733939004124724","0.0006733939004124724","17:68;6:80;8:68","17:0.0114755612002016;6:0.024247080045127323;8:0.005829473375133759","0.0230712890625","0.01513671875","Yes","17:0.007755875402214563;6:0.010450279292560843;8:0.010504253284116666"
"8","265.76449958794404","69.78426206781778","0.0079345703125","0.011474609375","0.00439453125","2280","0.0009278117571973911","32","0.0009278117571973911","0","0.0009278117571973911","0.0009278117571973911","9:68;7:68","9:0.002513752005332215;7:0.005829473375133759","0.0079345703125","0.008056640625","Yes","9:0.004614832740394259;7:0.010504253284116666"
"9","129.33818108627287","32.43250515805979","0.0086669921875","0.015869140625","0.00146484375","2280","0.0008067561631525162","32","0.0008067561631525162","0","0.0008067561631525162","0.0008067561631525162","8:68;10:68","8:0.002513752005332215;10:0.00307018990086666","0.0086669921875","0.021240234375","Yes","8:0.004614832740394259;10:0.010274047933940045"
"10","251.9155386420508","24.415489642357514","0.005126953125","0.005859375","0.0009765625","2280","0.0012268579731843018","32","0.0012268579731843018","0","0.0012268579731843018","0.0012268579731843018","9:68;11:68","9:0.00307018990086666;11:0.0013989661287416577","0.005126953125","0.00146484375","Yes","9:0.010274047933940045;11:0.006332028785006993"
"11","390.89624448861343","77.72093947058434","0.02587890625","0.021484375","0.0302734375","2280","0.0014553020999199038","32","0.0014553020999199038","0","0.0014553020999199038","0.0014553020999199038","18:68;10:68;12:68","18:0.00540191893643141;10:0.0013989661287416577;12:0.001994126338523583","0.02587890625","0.018798828125","Yes","18:0.007688565722634377;10:0.006332028785006993;12:0.004113795163927736"
"12","262.26449628077074","224.04285941416546","0.0137939453125","0.016845703125","0.0107421875","2280","0.00022668257048707115","32","0.00022668257048707115","0","0.00022668257048707115","0.00022668257048707115","13:68;11:68","13:0.0022574789360016723;11:0.001994126338523583","0.0137939453125","0.018798828125","Yes","13:0.0024755856816220945;11:0.004113795163927736"
"13","119.79019522604104","173.45092322272657","0.0108642578125","0.01611328125","0.005615234375","2280","0.0008752538723694089","32","0.0008752538723694089","0","0.0008752538723694089","0.0008752538723694089","12:68;14:68","12:0.0022574789360016723;14:0.0027073963552234903","0.0108642578125","0.00830078125","Yes","12:0.0024755856816220945;14:0.0017171395036579828"
"14","224.11991331601655","222.95556851330915","0.011962890625","0.01611328125","0.0078125","2280","0.00042306687195837247","32","0.00042306687195837247","0","0.00042306687195837247","0.00042306687195837247","15:68;13:68","15:0.00210233484622413;13:0.0027073963552234903","0.011962890625","0.005126953125","Yes","15:0.004721372919918282;13:0.0017171395036579828"
"15","329.8151189221493","304.3139932096698","0.00927734375","0.011962890625","0.006591796875","2280","0.0006398021921793966","32","0.0006398021921793966","0","0.0006398021921793966","0.0006398021921793966","14:68;19:68","14:0.00210233484622413;19:0.0014210948218502384","0.00927734375","0.008544921875","Yes","14:0.004721372919918282;19:0.002764047653483731"
"16","383.290569356658","269.3779238213139","0.0477294921875","0.039794921875","0.0556640625","2280","0.0004038370789761711","32","0.0004038370789761711","0","0.0004038370789761711","0.0004038370789761711","23:68;3:68","23:0.0012008417357981804;3:0.001353315487275658","0.0477294921875","0.083251953125","Yes","23:0.0035954749912667228;3:0.0038659155409493107"
"17","288.76307992467366","42.80396456730983","0.008544921875","0.01220703125","0.0048828125","2280","0.0004951664351258358","32","0.0004951664351258358","0","0.0004951664351258358","0.0004951664351258358","7:68;27:68","7:0.0114755612002016;27:0.004030994459751552","0.008544921875","0.004638671875","Yes","7:0.007755875402214563;27:0.003937155192627495"
"18","110.66696369883077","98.22652628760859","0.119873046875","0.089111328125","0.150634765625","2280","0.0011168861462095786","32","0.0011168861462095786","0","0.0011168861462095786","0.0011168861462095786","11:68;31:68","11:0.00540191893643141;31:0.00743176674656118","0.119873046875","0.08056640625","Yes","11:0.007688565722634377;31:0.004874995052593811"
"19","314.2972517003039","206.72405364610256","0.0076904296875","0.0068359375","0.008544921875","2280","0.0004712133790955906","32","0.0004712133790955906","0","0.0004712133790955906","0.0004712133790955906","35:68;15:68","35:0.0010711292881692425;15:0.0014210948218502384","0.0076904296875","0.008544921875","Yes","35:0.0018633392526809789;15:0.002764047653483731"
"20","361.1188131289924","23.654110824571404","0.0098876953125","0.013916015625","0.005859375","2280","0.001081269983115856","32","0.001081269983115856","0","0.001081269983115856","0.001081269983115856","21:68","21:0.0015929975847842337","0.0098876953125","0.01220703125","Yes","21:0.004074552030196382"
"21","214.51477253261737","165.2331972981511","0.0098876953125","0.017333984375","0.00244140625","2280","0.002027641488254473","32","0.002027641488254473","0","0.002027641488254473","0.002027641488254473","36:68;20:68;22:68","36:0.005997780628060778;20:0.0015929975847842337;22:0.003849408130814136","0.0098876953125","0.00732421875","Yes","36:0.008272616645269681;20:0.004074552030196382;22:0.0032593474535264344"
"22","257.24270310837414","92.51618929954877","0.0263671875","0.021728515625","0.031005859375","2280","0.00038582507206819176","32","0.00038582507206819176","0","0.00038582507206819176","0.00038582507206819176","23:68;21:68","23:0.005690160233824099;21:0.003849408130814136","0.0263671875","0.0205078125","Yes","23:0.005381152498406899;21:0.0032593474535264344"
"23","294.73484506810115","51.779347681508746","0.0111083984375","0.0205078125","0.001708984375","2280","0.004642641169347042","32","0.004642641169347042","0","0.004642641169347042","0.004642641169347042","22:68;24:68;16:68","22:0.005690160233824099;24:0.0017804528893211324;16:0.0012008417357981804","0.0111083984375","0.021484375","Yes","22:0.005381152498406899;24:0.0057324582794436585;16:0.0035954749912667228"
"24","265.6824193296568","26.775837700071882","0.0167236328125","0.02099609375","0.012451171875","2280","0.001231403803155681","32","0.001231403803155681","0","0.001231403803155681","0.001231403803155681","23:68;25:68","23:0.0017804528893211324;25:0.008721439315086038","0.0167236328125","0.027099609375","Yes","23:0.0057324582794436585;25:0.00492994059743862"
"25","305.1065171874205","14.711801922206783","0.0098876953125","0.013916015625","0.005859375","2280","0.00046995599712522964","32","0.00046995599712522964","0","0.00046995599712522964","0.00046995599712522964","24:68;26:68;37:68","24:0.008721439315086038;26:0.011618750936027628;37:0.003215804162975705","0.0098876953125","0.0078125","Yes","24:0.00492994059743862;26:0.005254366953677508;37:0.005314432590770413"
"26","139.0064236093412","34.817894164699915","0.012451171875","0.012451171875","0.012451171875","2280","0.0005490229202933688","32","0.0005490229202933688","0","0.0005490229202933688","0.0005490229202933688","25:68;27:68","25:0.011618750936027628;27:0.002286292956111574","0.012451171875","0.020263671875","Yes","25:0.005254366953677508;27:0.003381701029712497"
"27","233.09888070121065","27.98083905955746","0.0125732421875","0.0224609375","0.008544921875","2280","0.0006304094596511224","32","0.0006304094596511224","0","0.0006304094596511224","0.0006304094596511224","26:68;28:68;17:68","26:0.002286292956111574;28:0.0055334800965623765;17:0.004030994459751552","0.0125732421875","0.020751953125","Yes","26:0.003381701029712497;28:0.003948213310862092;17:0.003937155192627495"
"28","344.8352459520298","296.677817031038","0.007080078125","0.01171875","0.00244140625","2280","0.0008702302577379934","32","0.0008702302577379934","0","0.0008702302577379934","0.0008702302577379934","27:68;29:68","27:0.0055334800965623765;29:0.005530692410464555","0.007080078125","0.009521484375","Yes","27:0.003948213310862092;29:0.007181239851947269"
"29","176.7147699849126","70.99983228915173","0.01025390625","0.01806640625","0.00244140625","2280","0.00157490310819255","32","0.00157490310819255","0","0.00157490310819255","0.00157490310819255","38:68;28:68;30:80","38:0.009321447861747933;28:0.005530692410464555;30:0.006741958284949973","0.01025390625","0.0078125","Yes","38:0.012776638540097196;28:0.007181239851947269;30:0.0018400645470640076"
